trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
ns,NA,NA,131.4,141.1,119.7,ns,0.04668,-,-1.559,3224,104.2,107,99.4,ns,0.1353,ns,NA,NA,1.006,0.8492,1.296,ns,0.02851,-,-8.858,17880,3753,2055,1698,ns,0.3018,-,-12.21,24660,3730,2420,1310,ns,0.3434,ns,NA,NA,0.6635,0.5353,0.9004,+,0.04725,ns,NA,NA,1.789,1.788,1.79,ns,9.344e-4,+,0.001837,-3.306,0.4184,0.3748,0.4989,+,0.06084,ns,NA,NA,0.4767,0.4517,0.5229,ns,0.02851,-,-0.1471,300.1,8.224,7.792,7.179,ns,0.3434,ns,NA,NA,0.3872,0.3605,0.4365,+,0.04725,-,-5.422,10950,1778,1093,685,ns,0.385,ns,NA,NA,0.9264,0.9261,0.9269,ns,9.344e-4,ns,NA,NA,0.3123,0.2952,0.344,+,0.06084,somalia_Arid,2605.7569869405916,Arid
NA,NA,NA,203.9,105,303,NA,NA,NA,NA,NA,NA,NA,-0,NA,NA,NA,NA,NA,0.2884,0.2165,0.4321,NA,NA,NA,NA,NA,0.8651,0.433,0.4321,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,0.2862,0.2147,0.4293,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0.2862,0.2147,0.4293,NA,NA,NA,NA,NA,0.2504,0.196,0.3591,NA,NA,NA,NA,NA,1.386,1.099,0.6931,NA,NA,NA,NA,NA,0.2487,0.1945,0.3572,NA,NA,NA,NA,NA,0.7511,0.392,0.3591,NA,NA,NA,NA,NA,0.6931,0.6931,0.6931,NA,NA,NA,NA,NA,0.2487,0.1945,0.3572,NA,NA,somaliland_Arid,4021537.246740204,Arid
ns,NA,NA,224.2,227.9,217.9,ns,0.1977,+,1.97,-3882,80.09,74.95,87.79,ns,0.4059,ns,NA,NA,3.044,3.166,2.857,-,0.02398,-,-253.7,519500,183600,115700,67960,-,0.5099,-,-71.4,146800,60320,36530,23790,-,0.7389,ns,NA,NA,1.808,1.88,1.698,-,0.027,-,-0.004691,11.47,2.054,2.056,2.052,-,0.01881,ns,NA,NA,0.8545,0.8932,0.795,-,0.02667,-,-0.001419,3.574,0.7031,0.7188,0.6791,-,0.02398,-,-0.02383,56,11.01,10.51,10.08,-,0.7389,ns,NA,NA,0.5837,0.5984,0.561,-,0.027,-,-55.08,112900,42410,26260,16160,-,0.6556,-,-8.029e-4,2.628,1.002,1.003,1.001,-,0.01881,ns,NA,NA,0.445,0.4563,0.4276,-,0.02667,south_africa_Arid,137.3767238525008,Arid
ns,NA,NA,222,222,221.9,ns,0.07285,+,0.2929,-533.4,54.89,52.98,57.67,ns,0.281,-,-0.01431,30.88,2.032,2.09,1.951,-,0.01613,-,-780.1,1599000,589800,354800,235000,-,0.5724,-,-299.6,617300,290200,169800,120400,-,0.614,-,-0.006585,14.51,1.242,1.282,1.187,-,0.01539,ns,NA,NA,2.078,2.088,2.062,-,0.01653,ns,NA,NA,0.6391,0.6532,0.6191,-,0.01157,ns,NA,NA,0.6688,0.6769,0.6573,-,0.01613,-,-0.02005,49.92,12.58,12.04,11.7,-,0.614,ns,NA,NA,0.5451,0.5524,0.5348,-,0.01539,-,-211.3,434500,194100,114900,79160,-,0.5932,ns,NA,NA,1.012,1.014,1.009,-,0.01653,ns,NA,NA,0.4075,0.4126,0.4004,-,0.01157,south_africa_Temperate,42.76833612145121,Temperate
ns,NA,NA,193.1,195.2,190.2,ns,0.1145,-,-1.484,3048,69.75,74.32,63.04,ns,0.2393,ns,NA,NA,1.473,1.454,1.499,ns,0.008138,ns,NA,NA,8398,4799,3599,ns,0.1561,ns,NA,NA,5702,3301,2401,ns,0.281,ns,NA,NA,0.9148,0.9068,0.9259,ns,0.006325,ns,NA,NA,2.011,1.961,2.079,ns,0.01061,ns,NA,NA,0.5098,0.5198,0.4959,ns,0.01508,ns,NA,NA,0.5707,0.5696,0.5723,ns,0.008138,ns,NA,NA,8.649,8.102,7.784,ns,0.281,ns,NA,NA,0.4701,0.4695,0.471,ns,0.006325,ns,NA,NA,3254,1880,1374,ns,0.281,ns,NA,NA,0.9884,0.9779,1.003,ns,0.01061,ns,NA,NA,0.3564,0.3604,0.3508,ns,0.01508,south_africa_Equatorial,3003.9096668083307,Equatorial
ns,NA,NA,224.6,231.8,212.9,ns,0.01323,ns,NA,NA,27.53,18.51,34.9,ns,0.1046,-,-0.04042,81.89,0.9512,1.038,0.8374,ns,0.01354,ns,NA,NA,361.5,224.1,137.3,ns,0.3228,ns,NA,NA,380,216,164,ns,0.2505,ns,NA,NA,0.5858,0.6539,0.4961,ns,0.01646,-,-0.06226,127.7,2.358,2.5,2.171,ns,0.0904,ns,NA,NA,0.3462,0.3581,0.3305,ns,0.07774,-,-0.02056,41.8,0.4389,0.4619,0.4086,ns,0.01354,ns,NA,NA,5.943,5.38,5.106,ns,0.2505,ns,NA,NA,0.3657,0.3807,0.346,ns,0.01646,ns,NA,NA,166.8,99.76,67.01,ns,0.2811,-,-0.01662,34.46,1.055,1.089,1.011,ns,0.0904,ns,NA,NA,0.2758,0.2784,0.2723,ns,0.07774,south_africa_Polar,69791.4069140529,Polar
+,1.822,-3433,223.9,225,220.8,ns,0.3501,ns,NA,NA,22.74,19.59,30.06,ns,0.1046,-,-0.04424,89.95,1.306,1.555,0.8919,ns,0.04133,-,-0.8381,1690,236.4,175.7,60.65,ns,0.4059,-,-0.5641,1141,181,113,68,ns,0.3447,ns,NA,NA,0.982,1.064,0.846,ns,0.09844,ns,NA,NA,2.575,2.628,2.485,ns,0.06609,ns,NA,NA,0.4985,0.486,0.5191,ns,0.0718,ns,NA,NA,0.5018,0.5073,0.4927,ns,0.04133,-,-0.08091,165.1,5.204,4.736,4.234,ns,0.3447,ns,NA,NA,0.4825,0.4762,0.4931,ns,0.09844,-,-0.4064,821.4,90.82,57.32,33.51,ns,0.3434,ns,NA,NA,1.112,1.104,1.124,ns,0.06609,ns,NA,NA,0.3526,0.3421,0.3699,ns,0.0718,south_africa_Boreal,106729.67372867253,Boreal
ns,NA,NA,72.05,73.15,70.39,ns,0.01041,ns,NA,NA,35.73,29.03,43.97,ns,0.01043,ns,NA,NA,2.042,2.284,1.761,ns,0.01099,ns,NA,NA,618.9,372.3,246.6,ns,0.09366,ns,NA,NA,303,163,140,ns,0.04171,-,-0.05972,121.5,1.425,1.713,1.089,ns,0.05648,ns,NA,NA,3.129,3.301,2.929,ns,0.03649,-,-0.01206,24.98,0.5692,0.6248,0.5044,ns,0.08025,ns,NA,NA,0.7136,0.7363,0.6872,ns,0.01099,ns,NA,NA,5.717,5.1,4.949,ns,0.04171,ns,NA,NA,0.602,0.6568,0.5382,ns,0.05648,ns,NA,NA,216.2,120,96.21,ns,0.05203,ns,NA,NA,1.209,1.238,1.175,ns,0.03649,ns,NA,NA,0.3872,0.4095,0.3613,ns,0.08025,south_korea_Boreal,3241.4236143393,Boreal
NA,NA,NA,109.2,110.3,108.2,NA,NA,NA,NA,NA,81.21,98.49,62.99,NA,NA,NA,NA,NA,1.285,1.308,1.264,NA,NA,NA,NA,NA,37.27,18.31,18.96,NA,NA,NA,NA,NA,29,14,15,NA,NA,NA,NA,NA,0.6884,0.6746,0.7012,NA,NA,NA,NA,NA,2.862,3.286,2.467,NA,NA,NA,NA,NA,0.3809,0.3599,0.4005,NA,NA,NA,NA,NA,0.6264,0.6553,0.5995,NA,NA,NA,NA,NA,3.401,2.708,2.773,NA,NA,NA,NA,NA,0.4495,0.4486,0.4503,NA,NA,NA,NA,NA,18.17,9.174,8.992,NA,NA,NA,NA,NA,1.192,1.295,1.096,NA,NA,NA,NA,NA,0.2971,0.2823,0.311,NA,NA,south_korea_Temperate,53825.350200840534,Temperate
ns,NA,NA,237.6,245.2,227.6,ns,0.1145,ns,NA,NA,142.6,139.9,145.3,ns,0.05203,-,-0.06962,144.5,4.544,4.886,4.163,-,0.01097,ns,NA,NA,6136000,3481000,2654000,ns,0.1561,+,755,-1451000,1350000,712500,637600,ns,0.3642,-,-0.02997,62.16,1.914,2.089,1.719,-,0.01479,ns,NA,NA,2.125,2.12,2.131,ns,6.124e-4,-,-0.009497,19.86,0.7857,0.8421,0.7226,-,0.0183,-,-0.002226,5.152,0.6958,0.7137,0.6758,-,0.01097,+,0.01122,-11.44,14.12,13.48,13.37,ns,0.3642,-,-0.002764,6.123,0.5742,0.5927,0.5536,-,0.01479,+,105.1,-166300,939500,508500,430900,ns,0.2185,ns,NA,NA,0.9902,0.9887,0.9918,ns,6.124e-4,-,-0.002347,5.143,0.4293,0.444,0.4129,-,0.0183,south_sudan_Equatorial,2.099922593659931,Equatorial
-,-2.053,4394,261.4,270.6,247.9,-,0.614,+,2.098,-4115,106.9,96.72,119,+,0.6556,-,-0.1181,242.5,4.725,5.386,4.011,ns,0.007052,-,-227.9,468700,215000,127400,87680,ns,0.385,+,8.242,-14390,45510,23650,21860,-,0.4896,-,-0.05088,104.6,2.344,2.577,2.091,-,0.01388,ns,NA,NA,2.205,2.191,2.22,ns,0.001091,-,-0.0133,27.8,0.9796,1.055,0.8981,-,0.01841,ns,NA,NA,0.7784,0.7948,0.7606,ns,0.007052,+,0.003835,-0.02474,10.73,10.07,9.993,-,0.4896,-,-0.003288,7.278,0.669,0.6879,0.6485,-,0.01388,ns,NA,NA,35420,18800,16630,ns,0.3226,ns,NA,NA,1.02,1.015,1.026,ns,0.001091,-,-0.00286,6.257,0.497,0.5139,0.4788,-,0.01841,south_sudan_Arid,59.915433828213565,Arid
-,-1.098,2266,71.44,86.81,54.52,ns,0.3642,ns,NA,NA,83.26,98.49,57.89,ns,0.2602,ns,NA,NA,0.9424,0.9614,0.9224,ns,0.05402,ns,NA,NA,994.3,521.1,473.2,ns,0.1353,ns,NA,NA,1055,542,513,ns,0.02083,ns,NA,NA,0.679,0.6638,0.695,ns,0.0601,ns,NA,NA,1.926,1.849,2.008,ns,0.04193,ns,NA,NA,0.4125,0.4133,0.4117,ns,0.04242,ns,NA,NA,0.4636,0.4587,0.4688,ns,0.05402,ns,NA,NA,6.962,6.297,6.242,ns,0.02083,ns,NA,NA,0.4038,0.3982,0.4098,ns,0.0601,ns,NA,NA,489.1,248.6,240.5,ns,0.1561,ns,NA,NA,0.9564,0.9413,0.9724,ns,0.04193,ns,NA,NA,0.3135,0.3129,0.314,ns,0.04242,south_sudan_Temperate,12958.826623947176,Temperate
ns,NA,NA,212.9,211.5,215.4,ns,0.05203,ns,NA,NA,67.49,63.51,74.53,ns,0.1769,ns,NA,NA,2.556,2.437,2.823,ns,0.02564,-,-33.77,68450,15540,10260,5283,ns,0.3434,-,-18.5,37500,6080,4209,1871,ns,0.2811,ns,NA,NA,2.639,2.505,2.941,ns,0.0252,ns,NA,NA,3.681,3.644,3.765,ns,0.0157,ns,NA,NA,0.973,0.9662,0.9884,ns,0.02426,ns,NA,NA,0.7704,0.7636,0.7856,ns,0.02564,-,-0.07311,152.6,8.713,8.345,7.535,ns,0.2811,ns,NA,NA,0.8394,0.8346,0.8504,ns,0.0252,-,-15.24,30840,4684,3214,1470,ns,0.3434,ns,NA,NA,1.307,1.305,1.312,ns,0.0157,-,-0.003983,8.536,0.5459,0.5457,0.5465,ns,0.02426,spain_Temperate,672.5721083643696,Temperate
ns,NA,NA,209.7,219.5,197.6,ns,0.01041,-,-1.301,2652,53.57,58.79,43.4,ns,0.4267,ns,NA,NA,3.854,3.194,5.17,ns,0.02555,ns,NA,NA,4683,2584,2099,ns,0.05203,-,-0.75,1553,1215,809,406,ns,0.1356,ns,NA,NA,2.841,2.564,3.393,ns,0.03646,ns,NA,NA,3.287,3.387,3.089,ns,0.04823,ns,NA,NA,1.031,0.986,1.121,ns,0.01899,ns,NA,NA,0.8804,0.8692,0.9026,ns,0.02555,ns,NA,NA,7.103,6.697,6.009,ns,0.1356,ns,NA,NA,0.8186,0.8108,0.8341,ns,0.03646,-,-1.423,2898,1070,703.2,366.5,ns,0.1353,ns,NA,NA,1.236,1.257,1.196,ns,0.04823,ns,NA,NA,0.5409,0.5307,0.5613,ns,0.01899,spain_Arid,2232.074826473577,Arid
ns,NA,NA,176.9,181.7,164.9,ns,0.2185,ns,NA,NA,119,117.9,121,ns,0.1354,ns,NA,NA,1.648,1.669,1.598,-,0.1223,-,-1.501,3065,794.3,567.3,227,ns,0.1977,-,-1.462,2957,482,340,142,ns,0.4685,ns,NA,NA,1.577,1.63,1.448,ns,1.232e-4,ns,NA,NA,3.359,3.144,3.873,+,0.1383,ns,NA,NA,0.6545,0.6781,0.5982,ns,0.08585,ns,NA,NA,0.6133,0.5901,0.6687,+,0.1223,-,-0.0895,183.1,6.18,5.832,4.963,ns,0.4685,ns,NA,NA,0.6496,0.6502,0.648,ns,1.232e-4,-,-0.768,1551,295.6,200.6,94.95,ns,0.3018,ns,NA,NA,1.206,1.161,1.315,+,0.1383,ns,NA,NA,0.4388,0.4511,0.4093,ns,0.08585,spain_Boreal,13159.31588917079,Boreal
NA,NA,NA,177.8,177.8,NA,NA,NA,NA,NA,NA,23.49,23.49,NA,NA,NA,NA,NA,NA,0.2146,0.2146,NA,NA,NA,NA,NA,NA,1.288,1.288,0,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,0.2147,0.2147,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0.2147,0.2147,NA,NA,NA,NA,NA,NA,0.1944,0.1944,NA,NA,NA,NA,NA,NA,1.946,1.946,0,NA,NA,NA,NA,NA,0.1945,0.1945,NA,NA,NA,NA,NA,NA,1.167,1.167,0,NA,NA,NA,NA,NA,0.6931,0.6931,NA,NA,NA,NA,NA,NA,0.1945,0.1945,NA,NA,NA,spain_Polar,8116240.658759449,Polar
ns,NA,NA,200.7,198.6,206.7,ns,0.1977,ns,NA,NA,41.43,40.51,43.37,ns,0.2393,ns,NA,NA,1.463,1.504,1.356,ns,0.001167,-,-35.51,71800,7553,5570,1983,-,0.6556,-,-20.86,42160,5164,3702,1462,-,0.5307,ns,NA,NA,0.6951,0.7158,0.6427,ns,0.02147,ns,NA,NA,3.354,3.333,3.406,ns,0.004564,ns,NA,NA,0.3294,0.338,0.3078,-,0.03881,ns,NA,NA,0.5652,0.5718,0.5483,ns,0.001167,-,-0.1083,223.2,8.55,8.217,7.288,-,0.5307,ns,NA,NA,0.41,0.4173,0.3916,ns,0.02147,-,-14.48,29270,2919,2117,801.6,-,0.5932,ns,NA,NA,1.176,1.172,1.185,ns,0.004564,ns,NA,NA,0.2663,0.2714,0.2534,-,0.03881,sri_lanka_Equatorial,180.59238087296535,Equatorial
NA,NA,NA,255,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4321,NA,0.4321,NA,NA,NA,NA,NA,0.4321,0,0.4321,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,0.2147,NA,0.2147,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,0.1431,NA,0.1431,NA,NA,NA,NA,NA,0.3591,NA,0.3591,NA,NA,NA,NA,NA,0.6931,0,0.6931,NA,NA,NA,NA,NA,0.1945,NA,0.1945,NA,NA,NA,NA,NA,0.3591,0,0.3591,NA,NA,NA,NA,NA,1.386,NA,1.386,NA,NA,NA,NA,NA,0.1337,NA,0.1337,NA,NA,sri_lanka_Temperate,3156530.448006007,Temperate
ns,NA,NA,236.5,240.7,230,ns,0.05203,+,0.5586,-999.2,119.6,116.9,123.6,ns,0.01041,-,-0.06487,133.9,3.436,3.742,3.046,-,0.03034,-,-1976,4030000,1191000,726100,464900,-,0.614,-,-259.3,537600,346700,194000,152600,ns,0.1977,-,-0.03158,65.4,1.883,2.034,1.691,-,0.03571,ns,NA,NA,2.222,2.227,2.217,-,0.01416,-,-0.01113,23.19,0.8748,0.9378,0.7946,-,0.03908,-,-0.004906,10.64,0.7841,0.8112,0.7495,-,0.03034,-,-0.01605,41.96,12.76,12.18,11.94,ns,0.1977,-,-0.004435,9.539,0.645,0.6706,0.61240000000000006,-,0.03571,-,-293,602200,271800,157400,114400,ns,0.4059,ns,NA,NA,1.035,1.036,1.034,-,0.01416,-,-0.00298,6.455,0.4791,0.4992,0.4536,-,0.03908,sudan_Arid,32.300355111348075,Arid
-,-0.743,1777,283.9,289,276.2,ns,0.385,+,0.8787,-1670,93.38,87.67,100.9,ns,0.3018,-,-0.06266,128.9,3.066,3.479,2.601,-,0.02274,-,-323.5,669000,407000,244400,162600,ns,0.4475,ns,NA,NA,132800,70250,62510,ns,0.3434,-,-0.04359,89.43,1.816,2.108,1.489,-,0.02494,-,-0.005428,13.14,2.229,2.256,2.199,-,0.01534,-,-0.01218,25.23,0.7619,0.8395,0.6747,-,0.02363,-,-0.004016,8.756,0.6962,0.7204,0.6691,-,0.02274,ns,NA,NA,11.8,11.16,11.04,ns,0.3434,-,-0.003652,7.915,0.5844,0.6083,0.5575,-,0.02494,ns,NA,NA,92430,50610,41820,ns,0.1353,-,-7.424e-4,2.52,1.022,1.026,1.016,-,0.01534,-,-0.002266,4.977,0.4324,0.4497,0.413,-,0.02363,sudan_Equatorial,94.52235710733878,Equatorial
+,3.8,-7526,134.2,114.8,155.8,ns,0.4059,+,1.278,-2473,119.8,104.8,131.4,ns,0.3226,-,-0.1238,252.3,3.772,4.583,3.148,ns,0.05127,ns,NA,NA,2248,1187,1061,ns,0.07285,ns,NA,NA,596,259,337,ns,0.3133,-,-0.06537,133.6,2.243,2.658,1.924,ns,0.04727,-,-0.02336,49.41,2.475,2.568,2.404,ns,0.03854,-,-0.0309,63.18,1.043,1.198,0.9238,ns,0.05136,-,-0.02051,42.27,0.9814,1.062,0.9193,ns,0.05127,ns,NA,NA,6.392,5.561,5.823,ns,0.3133,-,-0.01609,33.17,0.8044,0.8696,0.7544,ns,0.04727,ns,NA,NA,584.9,275.1,309.8,ns,0.2602,-,-0.006685,14.52,1.116,1.137,1.099,ns,0.03854,-,-0.007336,15.33,0.5673,0.6079,0.5361,ns,0.05136,sudan_Temperate,17112.83445237567,Temperate
ns,NA,NA,201.3,186.8,203.6,ns,0.1348,ns,NA,NA,24.68,60,10.48,ns,0.1371,ns,NA,NA,3.324,0.9963,5.263,ns,0.0439,ns,NA,NA,329,44.83,284.2,ns,0,ns,NA,NA,99,45,54,ns,0.02184,ns,NA,NA,2.069,0.9636,2.989,ns,0.06356,+,0.2593,-518,3.253,2.444,3.926,ns,0.06545,ns,NA,NA,0.7758,0.6189,0.9066,ns,0.07528,ns,NA,NA,0.6294,0.4544,0.7752,ns,0.0439,ns,NA,NA,4.605,3.829,4.007,ns,0.02184,ns,NA,NA,0.6526,0.4997,0.7801,ns,0.06356,ns,NA,NA,62.31,20.45,41.86,ns,0.02178,+,0.03537,-69.88,1.153,1.061,1.229,ns,0.06545,ns,NA,NA,0.4637,0.4073,0.5107,ns,0.07528,sweden_Boreal,27799.961570291856,Boreal
NA,NA,NA,243.8,252.7,238.7,NA,NA,NA,NA,NA,94.95,NA,147.8,NA,NA,NA,NA,NA,0.2644,0.4321,0.2165,NA,NA,NA,NA,NA,2.38,0.8642,1.516,NA,NA,NA,NA,NA,9,2,7,NA,NA,NA,NA,NA,1.193,1.61,1.073,NA,NA,NA,NA,NA,1.111,1.5,1,NA,NA,NA,NA,NA,1.133,1.342,1.073,NA,NA,NA,NA,NA,0.2297,0.3477,0.196,NA,NA,NA,NA,NA,2.303,1.099,2.079,NA,NA,NA,NA,NA,0.7755,0.9377,0.7291,NA,NA,NA,NA,NA,2.067,0.6954,1.372,NA,NA,NA,NA,NA,0.7382,0.8959,0.6931,NA,NA,NA,NA,NA,0.7547,0.8442,0.7291,NA,NA,switzerland_Polar,357547.0645711371,Polar
NA,NA,NA,238.1,223.5,249.9,NA,NA,NA,NA,NA,96.89,75.41,114,NA,NA,NA,NA,NA,0.4996,0.97,0.3602,NA,NA,NA,NA,NA,17.49,7.76,9.726,NA,NA,NA,NA,NA,35,8,27,NA,NA,NA,NA,NA,1.932,3.22,1.55,NA,NA,NA,NA,NA,1.771,2.875,1.444,NA,NA,NA,NA,NA,1.515,1.666,1.47,NA,NA,NA,NA,NA,0.357,0.5839,0.2898,NA,NA,NA,NA,NA,3.584,2.197,3.332,NA,NA,NA,NA,NA,0.9442,1.25,0.8536,NA,NA,NA,NA,NA,12.5,4.671,7.824,NA,NA,NA,NA,NA,0.9005,1.188,0.8152,NA,NA,NA,NA,NA,0.8476,0.9575,0.8151,NA,NA,switzerland_Boreal,48662.3216515353,Boreal
NA,NA,NA,167.5,167.5,NA,NA,NA,NA,NA,NA,149.3,149.3,NA,NA,NA,NA,NA,NA,0.755,0.755,NA,NA,NA,NA,NA,NA,3.02,3.02,0,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,2.415,2.415,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,1.449,1.449,NA,NA,NA,NA,NA,NA,0.5243,0.5243,NA,NA,NA,NA,NA,NA,1.609,1.609,0,NA,NA,NA,NA,NA,1.141,1.141,NA,NA,NA,NA,NA,NA,2.097,2.097,0,NA,NA,NA,NA,NA,1.171,1.171,NA,NA,NA,NA,NA,NA,0.8805,0.8805,NA,NA,NA,switzerland_Temperate,281747.5521165076,Temperate
ns,NA,NA,187.4,159.9,193.6,ns,0.03122,+,2.087,-4152,63.59,48.84,64.87,ns,0.4267,+,0.03372,-66.36,1.846,1.195,2.101,+,0.09085,ns,NA,NA,6793,1238,5555,ns,0.03122,ns,NA,NA,3680,1036,2644,ns,0.02082,+,0.09539,-190.6,2.149,1.355,2.461,+,0.1209,ns,NA,NA,2.817,2.774,2.834,ns,0.005328,+,0.04517,-90.3,1.063,0.7682,1.179,+,0.1301,+,0.01571,-31.03,0.6463,0.5442,0.6863,+,0.09085,ns,NA,NA,8.211,6.944,7.88,ns,0.02082,+,0.02721,-54.06,0.744,0.6186,0.7931,+,0.1209,ns,NA,NA,2379,563.8,1815,ns,0.01041,ns,NA,NA,1.148,1.132,1.154,ns,0.005328,+,0.01832,-36.42,0.5564,0.4697,0.5904,+,0.1301,syria_Arid,564.6298996750982,Arid
-,-2.78,5809,203.5,222,200.1,-,0.5307,ns,NA,NA,46.8,47.4,45.87,ns,0.4059,+,0.09454,-188.4,1.83,0.9977,2.166,+,0.1533,+,19.18,-38440,10020,1570,8452,+,0.6764,+,12.83,-25730,5477,1574,3903,+,0.5932,+,0.1893,-376.8,3.253,2.052,3.738,+,0.1722,+,0.04229,-81.66,3.321,2.836,3.516,+,0.1053,+,0.05284,-104.9,1.277,0.9489,1.409,+,0.156,+,0.02415,-48.05,0.6707,0.5136,0.7341,+,0.1533,+,0.1566,-310.6,8.608,7.362,8.27,+,0.5932,+,0.02286,-45.05,0.9141,0.7363,0.9858,+,0.1722,+,8.639,-17310,3674,808.5,2865,+,0.6348,+,0.009736,-18.26,1.234,1.141,1.271,+,0.1053,+,0.01763,-34.79,0.6517,0.5507,0.6924,+,0.156,syria_Temperate,382.66456797614495,Temperate
NA,NA,NA,33.84,NA,33.84,NA,NA,NA,NA,NA,55.25,NA,55.25,NA,NA,NA,NA,NA,0.3089,NA,0.3089,NA,NA,NA,NA,NA,2.162,0,2.162,NA,NA,NA,NA,NA,7,0,7,NA,NA,NA,NA,NA,1.38,NA,1.38,NA,NA,NA,NA,NA,1.143,NA,1.143,NA,NA,NA,NA,NA,1.38,NA,1.38,NA,NA,NA,NA,NA,0.2626,NA,0.2626,NA,NA,NA,NA,NA,2.079,0,2.079,NA,NA,NA,NA,NA,0.8307,NA,0.8307,NA,NA,NA,NA,NA,1.838,0,1.838,NA,NA,NA,NA,NA,0.7511,NA,0.7511,NA,NA,NA,NA,NA,0.8307,NA,0.8307,NA,NA,syria_Boreal,1773694.338347733,Boreal
NA,NA,NA,225.7,249.7,158.8,NA,NA,NA,NA,NA,117.9,107.9,120.7,NA,NA,NA,NA,NA,1.534,1.543,1.508,NA,NA,NA,NA,NA,102.8,75.61,27.15,NA,NA,NA,NA,NA,67,49,18,NA,NA,NA,NA,NA,0.7817,0.7404,0.8944,NA,NA,NA,NA,NA,3.552,3.49,3.722,NA,NA,NA,NA,NA,0.349,0.344,0.3627,NA,NA,NA,NA,NA,0.6415,0.6282,0.6778,NA,NA,NA,NA,NA,4.22,3.912,2.944,NA,NA,NA,NA,NA,0.4676,0.453,0.5072,NA,NA,NA,NA,NA,42.98,30.78,12.2,NA,NA,NA,NA,NA,1.221,1.217,1.233,NA,NA,NA,NA,NA,0.2831,0.2775,0.2986,NA,NA,taiwan_Temperate,7236.544370479697,Temperate
-,-5.291,10810,204,211.5,176.7,ns,0.2602,-,-2.155,4378,69.05,58.58,93.68,ns,0.385,-,-0.2284,461.5,3.184,3.951,1.857,-,0.2029,-,-2.282,4606,703.6,553.2,150.4,-,0.5307,-,-0.4722,954.2,221,140,81,ns,0.3652,-,-0.4807,972.2,8.881,10.62,5.881,-,0.1697,ns,NA,NA,2.95,3.057,2.765,ns,0.1011,-,-0.2413,488.3,4.173,4.923,2.877,-,0.1775,-,-0.03963,80.74,0.9365,1.071,0.7041,-,0.2029,-,-0.07702,156.9,5.403,4.949,4.407,ns,0.3652,-,-0.03927,80.67,1.617,1.754,1.379,-,0.1697,-,-0.7037,1422,207,149.9,57.03,ns,0.4267,ns,NA,NA,1.219,1.253,1.159,ns,0.1011,-,-0.03764,76.94,1.246,1.351,1.063,-,0.1775,tajikistan_Arid,4176.09385356806,Arid
