name_lwr,kg,wcbio,value
angola,Temperate,wc2.1_2.5m_bio_8,21.461388870521827
angola,Temperate,wc2.1_2.5m_bio_9,16.420463032192654
antarctica,Polar,wc2.1_2.5m_bio_1,-37.294441974649374
antarctica,Polar,wc2.1_2.5m_bio_10,-23.437506240616663
antarctica,Polar,wc2.1_2.5m_bio_11,-46.05520575997942
antarctica,Polar,wc2.1_2.5m_bio_12,111.43636363636364
antarctica,Polar,wc2.1_2.5m_bio_13,28.511037481880305
antarctica,Polar,wc2.1_2.5m_bio_14,0.41242493269828123
antarctica,Polar,wc2.1_2.5m_bio_15,111.34566947943331
antarctica,Polar,wc2.1_2.5m_bio_16,53.55299233795817
antarctica,Polar,wc2.1_2.5m_bio_17,5.651646303582521
antarctica,Polar,wc2.1_2.5m_bio_18,6.8690826258024424
antarctica,Polar,wc2.1_2.5m_bio_19,43.28444812590599
antarctica,Polar,wc2.1_2.5m_bio_2,7.599625867122596
antarctica,Polar,wc2.1_2.5m_bio_3,23.20330148149065
antarctica,Polar,wc2.1_2.5m_bio_4,979.6555902085706
antarctica,Polar,wc2.1_2.5m_bio_5,-17.267103867472255
antarctica,Polar,wc2.1_2.5m_bio_6,-50.71268306988124
antarctica,Polar,wc2.1_2.5m_bio_7,33.44557920863945
antarctica,Polar,wc2.1_2.5m_bio_8,-43.99659420245428
antarctica,Polar,wc2.1_2.5m_bio_9,-27.86301612638151
argentina,Arid,wc2.1_2.5m_bio_1,13.259794434059074
argentina,Arid,wc2.1_2.5m_bio_10,19.466145149042774
argentina,Arid,wc2.1_2.5m_bio_11,6.745115483298051
argentina,Arid,wc2.1_2.5m_bio_12,307.76254180602007
argentina,Arid,wc2.1_2.5m_bio_13,49.37959866220736
argentina,Arid,wc2.1_2.5m_bio_14,8.710702341137123
argentina,Arid,wc2.1_2.5m_bio_15,50.380705530428166
argentina,Arid,wc2.1_2.5m_bio_16,132.37290969899666
argentina,Arid,wc2.1_2.5m_bio_17,31.489966555183948
argentina,Arid,wc2.1_2.5m_bio_18,115.16555183946488
argentina,Arid,wc2.1_2.5m_bio_19,44.33946488294314
argentina,Arid,wc2.1_2.5m_bio_2,13.645744247978746
argentina,Arid,wc2.1_2.5m_bio_3,49.67003355377095
argentina,Arid,wc2.1_2.5m_bio_4,518.4382333914971
argentina,Arid,wc2.1_2.5m_bio_5,27.499744117060633
argentina,Arid,wc2.1_2.5m_bio_6,-0.030407943618001046
argentina,Arid,wc2.1_2.5m_bio_7,27.530152084835397
argentina,Arid,wc2.1_2.5m_bio_8,14.558662435681525
argentina,Arid,wc2.1_2.5m_bio_9,10.758307129991891
argentina,Boreal,wc2.1_2.5m_bio_1,4.108500003814697
argentina,Boreal,wc2.1_2.5m_bio_10,10.140800094604492
argentina,Boreal,wc2.1_2.5m_bio_11,-1.8838665962219239
argentina,Boreal,wc2.1_2.5m_bio_12,622.4
argentina,Boreal,wc2.1_2.5m_bio_13,113
argentina,Boreal,wc2.1_2.5m_bio_14,11.8
argentina,Boreal,wc2.1_2.5m_bio_15,66.79498748779297
argentina,Boreal,wc2.1_2.5m_bio_16,306.6
argentina,Boreal,wc2.1_2.5m_bio_17,49.6
argentina,Boreal,wc2.1_2.5m_bio_18,49.6
argentina,Boreal,wc2.1_2.5m_bio_19,298.2
argentina,Boreal,wc2.1_2.5m_bio_2,13.057133293151855
argentina,Boreal,wc2.1_2.5m_bio_3,50.58371276855469
argentina,Boreal,wc2.1_2.5m_bio_4,487.1570251464844
